Date,Team,fuckYOIU,WinLoss,
2017/11/11,DEN,0.200281875,W,0.849642384
2017/11/11,PHI,0.030466225,L,0.087300039
2017/11/11,GSW,0.318516721,W,0.912699961
2017/11/11,MEM,0.154192352,L,0.398927772
2017/11/11,HOU,0.232324615,W,0.601072228
2017/11/11,LAL,0.039401808,L,0.169642252
2017/11/11,MIL,0.19286231,W,0.830357748
2017/11/11,LAC,0.184901563,L,0.42982649
2017/11/11,NOR,0.245275654,W,0.57017351
2017/11/11,SAC,0.04518846,L,0.307195283
2017/11/11,NYK,0.101911651,W,0.692804717
2017/11/11,MIN,0.33905398,L,0.908154997
2017/11/11,PHX,0.034289757,W,0.091845003
2017/11/11,CHI,0.042944557,L,0.497510708
2017/11/11,SAS,0.043374303,W,0.502489292
2017/11/11,BKN,0.036895358,L,0.189638649
2017/11/11,UTA,0.157660754,W,0.810361351
2017/11/11,ATL,0.089510827,L,0.301008034
2017/11/11,WAS,0.207859399,W,0.698991966
2017/11/12,TOR,0.183543712,L,0.904234548
2017/11/12,BOS,0.019438703,W,0.095765452
2017/11/12,MIA,0.238546645,L,0.657888533
2017/11/12,DET,0.124047675,W,0.342111467
2017/11/12,HOU,0.223788341,W,0.704327053
2017/11/12,IND,0.093945218,L,0.295672947
2017/11/12,DAL,0.042962228,L,0.115470287
2017/11/12,OKC,0.32910083,W,0.884529713
2017/11/13,ORL,0.034688929,L,0.130776316
2017/11/13,GSW,0.230564977,W,0.869223684
2017/11/13,PHI,0.030763367,W,0.140351355
2017/11/13,LAC,0.188424875,L,0.859648645
2017/11/13,MEM,0.142128234,L,0.424275361
2017/11/13,MIL,0.19286231,W,0.575724639
2017/11/13,ATL,0.047758498,L,0.162979289
2017/11/13,NOR,0.245275654,W,0.837020711
2017/11/13,CLE,0.1813704,W,0.640246707
2017/11/13,NYK,0.101911651,L,0.359753293
2017/11/13,LAL,0.039401808,W,0.52795488
2017/11/13,PHX,0.035229206,L,0.47204512
2017/11/13,DEN,0.156589343,L,0.49621394
2017/11/13,POR,0.158978863,W,0.50378606
2017/11/13,MIN,0.332737777,W,0.891527568
2017/11/13,UTA,0.040484307,L,0.108472432
2017/11/13,SAC,0.053244945,L,0.202954048
2017/11/13,WAS,0.209104812,W,0.797045952
2017/11/14,BOS,0.066085795,W,0.712370698
2017/11/14,BKN,0.026683034,L,0.287629302
2017/11/14,SAS,0.123418112,W,0.731975232
2017/11/14,DAL,0.045191571,L,0.268024768
2017/11/14,TOR,0.183735399,W,0.381787141
2017/11/14,HOU,0.297515485,L,0.618212859
2017/11/15,SAC,0.053244945,L,0.61112128
2017/11/15,ATL,0.033881697,W,0.38887872
2017/11/15,CLE,0.181735081,W,0.535041666
2017/11/15,CHA,0.157930206,L,0.464958334
2017/11/15,PHI,0.029195634,W,0.254983548
2017/11/15,LAL,0.085304436,L,0.745016452
2017/11/15,IND,0.095250012,W,0.47957124
2017/11/15,MEM,0.103364926,L,0.52042876
2017/11/15,WAS,0.220296469,W,0.517864824
2017/11/15,MIA,0.2050973,L,0.482135176
2017/11/15,DET,0.122912666,L,0.388629016
2017/11/15,MIL,0.193359823,W,0.611370984
2017/11/15,SAS,0.123418112,L,0.301020764
2017/11/15,MIN,0.286580555,W,0.698979236
2017/11/15,TOR,0.183735399,W,0.42797052
2017/11/15,NOR,0.245582487,L,0.57202948
2017/11/15,UTA,0.025548132,L,0.201514884
2017/11/15,NYK,0.10123224,W,0.798485116
2017/11/15,CHI,0.040188757,L,0.117578951
2017/11/15,OKC,0.301613549,W,0.882421049
2017/11/15,ORL,0.034688929,L,0.179293825
2017/11/15,POR,0.158786383,W,0.820706175
2017/11/16,GSW,0.339095066,L,0.824190987
2017/11/16,BOS,0.072332711,W,0.175809013
2017/11/16,HOU,0.295819668,W,0.790330347
2017/11/16,PHX,0.078479091,L,0.209669653
2017/11/17,UTA,0.025722231,L,0.490832954
2017/11/17,BKN,0.026683034,W,0.509167046
2017/11/17,CHA,0.185819582,L,0.793944398
